DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.0524124875664711)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.058442123234272003)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.079710729420185089)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.06456591933965683" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.020584776997566223" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.029478184878826141" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.033261951059103012" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.025720816105604172" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.02822989784181118" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.13103121519088745" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.14610530436038971" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.19927681982517242" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.025826368480920792" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.0082339104264974594" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.011791273951530457" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.01330478023737669" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.010288326069712639" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.011291959322988987" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.0524124875664711" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.058442123234272003" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18)))))))+0.079710729420185089" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))" 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.11075910925865173)" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.034786030650138855)" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.046828791499137878)" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.045498713850975037)" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.040196917951107025)" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.046734191477298737)" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.29420298337936401)" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.21196657419204712)" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.27188116312026978)" 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.036919701844453812)" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.011595343239605427)" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.015609596855938435)" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.015166237950325012)" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.013398973271250725)" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.015578064136207104)" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.098067663609981537)" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.070655524730682373)" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.92801+((6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18)))))))-0.090627051889896393)" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.11075910925865173" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.034786030650138855" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.046828791499137878" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.045498713850975037" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.040196917951107025" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.046734191477298737" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.29420298337936401" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.21196657419204712" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.27188116312026978" 
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.036919701844453812" 
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.011595343239605427" 
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.015609596855938435" 
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.015166237950325012" 
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.013398973271250725" 
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.015578064136207104" 
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.098067663609981537" 
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.070655524730682373" 
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.92801+(6.63609e-05*(log(x+19)*(log(x+18)*(3-(-(4.49722*log(x+18))))))))+0.090627051889896393" 
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))" 
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))" 
2, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.14414376020431519)" 
2, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.047248136252164841)" 
2, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.050753511488437653)" 
2, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.056938432157039642)" 
2, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.056653149425983429)" 
2, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.074473433196544647)" 
2, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.28286010026931763)" 
2, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.21245275437831879)" 
2, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.27468141913414001)" 
2, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.041183933615684509)" 
2, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.013499467633664608)" 
2, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.014501003548502922)" 
2, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.016268122941255569)" 
2, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.016186613589525223)" 
2, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.021278124302625656)" 
2, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.080817170441150665)" 
2, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.060700785368680954)" 
2, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.698099+((0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18))))))-0.07848040759563446)" 
2, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.14414376020431519" 
2, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.047248136252164841" 
2, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.050753511488437653" 
2, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.056938432157039642" 
2, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.056653149425983429" 
2, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.074473433196544647" 
2, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.28286010026931763" 
2, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.21245275437831879" 
2, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.27468141913414001" 
2, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.041183933615684509" 
2, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.013499467633664608" 
2, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.014501003548502922" 
2, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.016268122941255569" 
2, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.016186613589525223" 
2, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.021278124302625656" 
2, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.080817170441150665" 
2, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.060700785368680954" 
2, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.698099+(0.00876337*(log(x+19)*(log(x+18)*(3-(0.371033*log(x+18)))))))+0.07848040759563446"  
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.066913604736328125)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.022445268929004669)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.038194604218006134)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.076192870736122131)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.10599261522293091)" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.15883646905422211)" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.15170834958553314)" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.17656436562538147)" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.20610496401786804)" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.02676544152200222)" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.0089781079441308975)" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.015277842059731483)" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.030477147549390793)" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.042397044599056244)" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.063534587621688843)" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.060683339834213257)" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.070625744760036469)" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.082441985607147217)" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.066913604736328125" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.022445268929004669" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.038194604218006134" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.076192870736122131" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.10599261522293091" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.15883646905422211" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.15170834958553314" 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.17656436562538147" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.20610496401786804" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.02676544152200222" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.0089781079441308975" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.015277842059731483" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.030477147549390793" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.042397044599056244" 
